id	filename	md5	size	state
02e8b92e-2027-4075-843c-b70526168db0	02e8b92e-2027-4075-843c-b70526168db0/HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G12_741544.grch38.seg.v2.txt	c92a997745066f5a75957f87faf78a0b	26892	validated
04181447-c0ee-4a65-99ba-9d1279576f50	04181447-c0ee-4a65-99ba-9d1279576f50/EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_B11_1244860.grch38.seg.v2.txt	b895774b1eb6e5dee6c941f175f1e235	28742	validated
09f46593-cae4-403b-a028-4814490560ba	09f46593-cae4-403b-a028-4814490560ba/GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_B07_760344.grch38.seg.v2.txt	5647df0553625760aa62df342816df28	24243	validated
0cca15d3-0fe9-4868-ace6-e7751395d85b	0cca15d3-0fe9-4868-ace6-e7751395d85b/WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_G09_799866.grch38.seg.v2.txt	04464b13848aafe9a58923c1e543ee90	25325	validated
0ed3735b-1881-4813-939e-5305aa176158	0ed3735b-1881-4813-939e-5305aa176158/TCGA-E9-A22H-01A-11D-A899-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	ac3889c18cd489ed8957d90daacbf311	59599	validated
19259452-1a78-46b5-8147-3987f8c1abc5	19259452-1a78-46b5-8147-3987f8c1abc5/43f7a2e0-fec9-4e43-872d-18c6c946fa17_wgs_gdc_realn.cr.igv.reheader.seg.txt	b63eebf8a7dd1fd9b9cc729c3902dd40	790127	validated
1943db99-34e2-4f00-9816-7ca19e092a7a	1943db99-34e2-4f00-9816-7ca19e092a7a/TCGA-BH-A0AZ-01A-21D-A890-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	f80ab0cef4dbdb9826596bccd696da2c	68839	validated
1f3095c5-c39e-48a5-9d62-afadfe53dda9	1f3095c5-c39e-48a5-9d62-afadfe53dda9/TCGA-HN-A2NL-01A-11D-A89B-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	7e15c77994e3f76410b395fc241acab9	421562	validated
22108dc9-a2b7-4936-b3cf-f1656b0ca185	22108dc9-a2b7-4936-b3cf-f1656b0ca185/SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G07_698040.grch38.seg.v2.txt	505edf84c45cbafc951784ea493b648c	47532	validated
25c01d20-0d04-4360-aef9-9ec84e8a08fc	25c01d20-0d04-4360-aef9-9ec84e8a08fc/JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A04_747948.grch38.seg.v2.txt	93ca28041dfcde010a9770fd569563a1	22471	validated
288ea893-0cc4-45d1-990c-6c2031caa3b7	288ea893-0cc4-45d1-990c-6c2031caa3b7/HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C07_628576.grch38.seg.v2.txt	3d647bb64e4738bbd5951a9b8b07a222	16989	validated
29f8969b-1275-42f3-a628-6c4ab4f5bcee	29f8969b-1275-42f3-a628-6c4ab4f5bcee/EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_A08_802468.grch38.seg.v2.txt	db7a395a51a7b3687fe97271f7b8836e	19124	validated
2f974ecc-3e05-404b-8492-6b9221fbaa49	2f974ecc-3e05-404b-8492-6b9221fbaa49/URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D12_735130.grch38.seg.v2.txt	f470be621db98dfb748c4cef2b4209e5	34729	validated
